Group.1	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0.56	0	0	0.88	0	0	0	0	0	1	0	0	0.88	1	0	0	0.04	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208333333333333	0.625	0.291666666666667	0	0	0	0	0	0	0.0833333333333333	0.666666666666667	0	0	0.958333333333333	0	0	0	0	0	1	0	0	0.958333333333333	1	0.0833333333333333	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208333333333333	0.291666666666667	0	0.0416666666666667	0	0	0	0	0.125	0.625	0.291666666666667	0	0.916666666666667	0	0	0	0	0	1	0	0	0.916666666666667	1	0	0	0	0.0833333333333333	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260869565217391	0	0	0	0	0	0	0	0.608695652173913	0	0	0.869565217391304	0	0	0	0	0	1	0	0	0.869565217391304	1	0	0	0	0.130434782608696	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173913043478261	0.521739130434783	0.0434782608695652	0.0869565217391304	0	0	0	0	0.304347826086957	0.565217391304348	0	0	0.956521739130435	0	0	0	0	0	1	0	0	0.956521739130435	1	0.173913043478261	0	0	0	0	0	0	0	0.956521739130435	0	0	0	0	0	0	0.0434782608695652	0	0
6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0.125	0.458333333333333	0	0	0	0	0	0	0.0416666666666667	0.541666666666667	0.541666666666667	0	0.958333333333333	0	0	0	0	0	1	0	0	0.958333333333333	1	0	0.833333333333333	0	0	0	0	0.958333333333333	0	1	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0
7	8	0.238095238095238	0.238095238095238	0.0476190476190476	0	0	0	0	0.285714285714286	0	0	0	0.0952380952380952	0	0	0	0.0952380952380952	0.0476190476190476	0	0	0	0	0	0.0476190476190476	0.523809523809524	0	0	0.571428571428571	0.285714285714286	0.0476190476190476	0.19047619047619	0	0.0476190476190476	1	0	0	0.571428571428571	1	0	0.380952380952381	0	0	0	0	0.476190476190476	0	1	0.142857142857143	0	0.476190476190476	0	0	0	0.523809523809524	0	0
8	9	0	0	0	0	0	0	0	0	0	0	0	0	0.105263157894737	0	0	0.210526315789474	0	0	0	0	0	0	0.0526315789473684	0.631578947368421	0.157894736842105	0.157894736842105	0.842105263157895	0	0	0	0	0	1	0	0	0.842105263157895	1	0	0	0	0	0	0	0	0	1	0	0	0.368421052631579	0	0	0.105263157894737	0.842105263157895	0	0
9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
